City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,fale old settlement,-9.3852,-171.2468,301.45,72,100,1.96,TK,1696101414
83,willmar,45.1219,-95.0433,295.04,94,100,4.12,US,1696101616
84,kayar,14.9192,-17.1211,302.68,78,100,5.56,SN,1696101616
85,margaret river,-33.95,115.0667,287.87,74,97,6.91,AU,1696101616
86,cockburn town,21.4612,-71.1419,302.35,80,99,7.97,TC,1696101616
87,ust-nera,64.5667,143.2,269.04,67,15,2.67,RU,1696101616
88,happy valley-goose bay,53.3168,-60.3315,293.32,40,75,5.66,CA,1696101617
89,essaouira,31.5125,-9.77,301.87,32,65,1.03,MA,1696101617
90,praia da vitoria,38.7333,-27.0667,296.35,83,20,3.65,PT,1696101366
91,talnakh,69.4865,88.3972,266.6,92,17,1.53,RU,1696101617
92,san patricio,28.017,-97.5169,306.43,47,45,7.35,US,1696101381
93,ushuaia,-54.8,-68.3,286.96,24,0,3.09,AR,1696101338
94,jamestown,42.097,-79.2353,297.05,69,20,4.63,US,1696101380
95,lebu,-37.6167,-73.65,286.79,74,100,3.85,CL,1696101471
96,pimentel,-6.8367,-79.9342,300.31,54,0,7.72,PE,1696101618
97,hithadhoo,-0.6,73.0833,300.58,79,34,6.78,MV,1696101618
98,aykhal,66.0,111.5,275.41,99,100,0.89,RU,1696101618
99,levuka,50.1834,-105.4011,286.05,62,100,7.33,CA,1696101619
100,qaqortoq,60.7167,-46.0333,276.69,79,68,0.92,GL,1696101343
101,taroa,8.7058,171.2275,300.46,75,100,1.67,MH,1696101619
102,taltal,-25.4,-70.4833,291.88,64,28,3.18,CL,1696101619
103,cambria,35.5641,-121.0808,294.69,99,21,1.34,US,1696101619
104,champerico,14.3,-91.9167,307.45,66,42,3.11,GT,1696101619
105,acapulco de juarez,16.8634,-99.8901,306.05,62,75,2.57,MX,1696101355
106,barbate,36.1924,-5.9219,295.17,76,7,8.91,ES,1696101620
107,coari,-4.085,-63.1414,309.84,32,98,1.0,BR,1696101620
108,hamilton,39.1834,-84.5333,301.72,56,75,3.09,US,1696101620
109,mermoz boabab,14.7065,-17.4758,302.46,84,40,2.06,SN,1696101620
110,naldurg,17.8167,76.3,296.98,88,100,3.29,IN,1696101621
111,yuzhno-kurilsk,44.0306,145.8556,288.91,86,100,5.91,RU,1696101621
112,ripley,53.0333,-1.4,287.69,94,100,1.79,GB,1696101621
113,brioude,45.1667,3.4167,289.38,74,6,0.82,FR,1696101621
114,hirara,24.8,125.2833,301.07,94,75,6.17,JP,1696101621
115,badger,64.8,-147.5333,277.99,68,0,3.09,US,1696101621
116,san julian,21.0167,-102.1667,299.88,26,99,2.76,MX,1696101622
117,shalqar,47.8333,59.6,289.89,50,100,0.99,KZ,1696101622
118,rudnyy,52.9594,63.1206,283.28,83,97,3.22,KZ,1696101622
119,monteagudo,-19.8167,-63.9833,303.53,27,23,4.57,BO,1696101415
120,as sulayyil,20.4607,45.5779,304.29,13,0,3.15,SA,1696101622
121,katsuura,35.1333,140.3,299.08,85,100,9.65,JP,1696101622
122,usinsk,65.9939,57.5281,281.83,91,100,9.19,RU,1696101623
123,anadyr,64.75,177.4833,271.43,86,40,4.0,RU,1696101365
124,alice springs,-23.7,133.8833,294.9,23,0,4.12,AU,1696101623
125,chonchi,-42.6128,-73.8092,290.71,58,100,0.33,CL,1696101623
126,nova sintra,14.8667,-24.7167,297.13,79,10,6.41,CV,1696101623
127,saipan,15.1355,145.701,299.54,89,100,2.57,MP,1696101623
128,udachny,66.4167,112.4,274.51,100,100,2.0,RU,1696101356
129,weno,7.4515,151.8468,301.92,78,84,4.77,FM,1696101624
130,ambon,-3.6954,128.1814,300.3,95,40,2.06,ID,1696101624
131,were ilu,10.6,39.4333,285.26,78,75,2.8,ET,1696101378
132,kapuskasing,49.4169,-82.4331,290.2,88,100,3.09,CA,1696101624
133,greymouth,-42.4667,171.2,282.18,83,100,3.84,NZ,1696101624
